epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1637.42,0.93671,1.12303,1.15708,0.67796,0.58765,0.63326,0.47541,0.8802,0.91963,1.07879,5e-05,5e-05,5e-05
2,3295.43,0.92567,1.06295,1.14518,0.70189,0.59078,0.64621,0.48437,0.88285,0.90097,1.08489,4.97883e-05,4.97883e-05,4.97883e-05
3,4945.11,inf,1.03938,1.14186,0.7038,0.59339,0.65044,0.48948,0.8773,0.89292,1.07157,4.91567e-05,4.91567e-05,4.91567e-05
4,6590.83,0.91662,1.02169,1.13642,0.70739,0.59952,0.6587,0.49449,0.87493,0.87879,1.07447,4.8116e-05,4.8116e-05,4.8116e-05
5,8233.21,0.91244,1.00664,1.13784,0.70148,0.60703,0.66589,0.50106,0.87161,0.86659,1.07355,4.66841e-05,4.66841e-05,4.66841e-05
6,9894.16,0.90795,0.99226,1.13431,0.7042,0.61509,0.67131,0.50476,0.87014,0.85923,1.076,4.48855e-05,4.48855e-05,4.48855e-05
7,11552.3,0.90514,0.9804,1.1315,0.72049,0.61456,0.67489,0.50853,0.86756,0.85118,1.07029,4.27509e-05,4.27509e-05,4.27509e-05
8,13201.1,0.89967,0.96987,1.1317,0.72397,0.61673,0.67802,0.51172,0.86498,0.84617,1.07204,4.03168e-05,4.03168e-05,4.03168e-05
9,14849,0.89773,0.95983,1.12789,0.71057,0.62251,0.68025,0.51346,0.86279,0.84058,1.07065,3.7625e-05,3.7625e-05,3.7625e-05
10,16507.2,0.89459,0.94524,1.12298,0.70889,0.62758,0.68033,0.51439,0.86209,0.83821,1.06851,3.47214e-05,3.47214e-05,3.47214e-05
11,18167.7,0.89201,0.93571,1.12146,0.72188,0.62428,0.68216,0.51549,0.86127,0.83618,1.06718,3.16558e-05,3.16558e-05,3.16558e-05
12,19824.4,0.88697,0.92523,1.11864,0.72759,0.62187,0.68301,0.51655,0.86064,0.83513,1.06641,2.84805e-05,2.84805e-05,2.84805e-05
13,21474.2,0.85771,0.84573,1.08628,0.72881,0.62157,0.68382,0.51683,0.85985,0.83305,1.06594,2.525e-05,2.525e-05,2.525e-05
14,23139.7,0.85197,0.82649,1.07698,0.72814,0.62267,0.6838,0.51724,0.85967,0.83225,1.0648,2.20195e-05,2.20195e-05,2.20195e-05
15,24755.2,0.84731,0.81448,1.07804,0.72185,0.62636,0.68391,0.51777,0.85891,0.83184,1.06384,1.88442e-05,1.88442e-05,1.88442e-05
16,26362.8,0.84353,0.80194,1.07439,0.72823,0.6217,0.68494,0.51784,0.85866,0.83165,1.06343,1.57786e-05,1.57786e-05,1.57786e-05
17,28012.9,0.8392,0.79322,1.07391,0.72247,0.62503,0.68521,0.51801,0.85881,0.83131,1.06384,1.2875e-05,1.2875e-05,1.2875e-05
18,29655.9,0.83691,0.78453,1.06955,0.72001,0.62868,0.68567,0.51815,0.85924,0.83144,1.0638,1.01832e-05,1.01832e-05,1.01832e-05
19,31265.4,0.83371,0.77695,1.0679,0.71837,0.62917,0.68542,0.51805,0.85899,0.83174,1.06309,7.74911e-06,7.74911e-06,7.74911e-06
20,32892.5,0.83042,0.77012,1.06545,0.71099,0.634,0.68543,0.51815,0.85884,0.83161,1.06295,5.6145e-06,5.6145e-06,5.6145e-06
21,34511.5,0.82938,0.7674,1.06713,0.70736,0.63728,0.6855,0.51801,0.85881,0.83164,1.06315,3.81587e-06,3.81587e-06,3.81587e-06
22,36141.4,0.82768,0.76321,1.06506,0.7067,0.63951,0.6858,0.51809,0.85913,0.83199,1.06351,2.38398e-06,2.38398e-06,2.38398e-06
23,37781.9,0.82666,0.76073,1.06439,0.71233,0.63394,0.68547,0.51794,0.85928,0.83262,1.06335,1.34334e-06,1.34334e-06,1.34334e-06
24,39404.1,0.82621,0.76076,1.06503,0.71002,0.63416,0.68493,0.51749,0.85933,0.83388,1.06313,7.1174e-07,7.1174e-07,7.1174e-07
