epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1559.34,0.91705,1.07676,1.13625,0.67315,0.58095,0.63004,0.47121,0.88602,0.92177,1.07986,5e-05,5e-05,5e-05
2,3141.12,0.90435,0.99366,1.11685,0.68227,0.59775,0.64335,0.48034,0.88207,0.90652,1.07969,4.91567e-05,4.91567e-05,4.91567e-05
3,4719.71,0.89603,0.96164,1.11267,0.68943,0.59033,0.64799,0.48618,0.88135,0.89962,1.08004,4.66841e-05,4.66841e-05,4.66841e-05
4,6294.8,0.8875,0.93522,1.10874,0.70341,0.60047,0.65645,0.4924,0.87598,0.88957,1.07551,4.27509e-05,4.27509e-05,4.27509e-05
5,7860.11,0.88041,0.91462,1.09922,0.6878,0.61504,0.66308,0.4986,0.87146,0.87494,1.07119,3.7625e-05,3.7625e-05,3.7625e-05
6,9424.55,0.87193,0.89106,1.09552,0.71176,0.60553,0.66771,0.50278,0.86848,0.86312,1.06893,3.16558e-05,3.16558e-05,3.16558e-05
7,10972.8,0.86672,0.87075,1.09038,0.71172,0.61256,0.67178,0.50628,0.86679,0.85887,1.06713,2.525e-05,2.525e-05,2.525e-05
8,12528.7,0.86022,0.85355,1.08714,0.71574,0.61111,0.67395,0.50827,0.86481,0.85464,1.06622,1.88442e-05,1.88442e-05,1.88442e-05
9,14092.5,0.85332,0.83726,1.08358,0.7148,0.61218,0.67481,0.50928,0.86388,0.85265,1.06626,1.2875e-05,1.2875e-05,1.2875e-05
10,15657.2,0.84873,0.82493,1.07961,0.73056,0.60773,0.67613,0.5104,0.86305,0.85155,1.06557,7.74911e-06,7.74911e-06,7.74911e-06
11,17203.5,0.84503,0.8164,1.07647,0.73899,0.60185,0.67687,0.51106,0.86263,0.8505,1.06506,3.81587e-06,3.81587e-06,3.81587e-06
12,18749,0.84343,0.81028,1.0743,0.7358,0.60298,0.67688,0.51137,0.86225,0.85001,1.06422,1.34334e-06,1.34334e-06,1.34334e-06
