epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2343.72,0.92236,1.12378,1.17208,0.68078,0.58602,0.63717,0.47704,0.88423,0.94923,1.12418,5e-05,5e-05,5e-05
2,4713.07,0.90278,1.02731,1.15555,0.70247,0.58339,0.6466,0.48496,0.88179,0.94286,1.1215,4.91567e-05,4.91567e-05,4.91567e-05
3,7081.42,0.89467,0.99326,1.14838,0.68542,0.59923,0.65598,0.49097,0.87762,0.9271,1.11599,4.66841e-05,4.66841e-05,4.66841e-05
4,9442.93,0.88603,0.96586,1.13766,0.70726,0.6112,0.66411,0.4987,0.87305,0.91124,1.11589,4.27509e-05,4.27509e-05,4.27509e-05
5,11813.1,0.87775,0.94248,1.13597,0.70701,0.60726,0.6707,0.50546,0.86977,0.90027,1.11544,3.7625e-05,3.7625e-05,3.7625e-05
6,14181,0.86884,0.9191,1.13248,0.70003,0.62211,0.67645,0.51035,0.86515,0.8908,1.11163,3.16558e-05,3.16558e-05,3.16558e-05
7,16541.5,0.86239,0.895,1.12385,0.70351,0.62359,0.6801,0.51472,0.86136,0.88291,1.10596,2.525e-05,2.525e-05,2.525e-05
8,18894.7,0.85518,0.8782,1.11912,0.70492,0.6235,0.68275,0.51762,0.85977,0.88077,1.10389,1.88442e-05,1.88442e-05,1.88442e-05
9,21270.6,0.84831,0.86049,1.11195,0.70566,0.62933,0.68462,0.51883,0.85799,0.87815,1.10258,1.2875e-05,1.2875e-05,1.2875e-05
10,23644.3,0.84432,0.84716,1.10993,0.70522,0.63049,0.68546,0.51953,0.85745,0.87657,1.10281,7.74911e-06,7.74911e-06,7.74911e-06
11,26014.7,0.84027,0.839,1.10766,0.70664,0.6307,0.6854,0.52014,0.85701,0.87548,1.10256,3.81587e-06,3.81587e-06,3.81587e-06
12,28372.1,0.83854,0.83297,1.10569,0.70721,0.63029,0.68566,0.52014,0.85672,0.87494,1.10233,1.34334e-06,1.34334e-06,1.34334e-06
