epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1629.08,1.01964,1.28143,1.19846,0.60271,0.51051,0.54037,0.38776,0.98965,1.11671,1.16061,0.0002,0.0002,0.0002
2,3286.43,1.00855,1.19459,1.19295,0.62665,0.53272,0.56285,0.40735,0.98053,1.07569,1.1444,0.000196627,0.000196627,0.000196627
3,4953.62,0.995,1.14431,1.18175,0.63672,0.54022,0.5827,0.42286,0.96589,1.04699,1.13603,0.000186737,0.000186737,0.000186737
4,6575.3,0.97915,1.1012,1.17204,0.67888,0.55382,0.60433,0.4438,0.9496,1.00189,1.1261,0.000171004,0.000171004,0.000171004
5,8219.91,0.961,1.0563,1.15979,0.6904,0.5745,0.62458,0.46235,0.92652,0.96017,1.11353,0.0001505,0.0001505,0.0001505
6,9845.42,0.94173,1.00691,1.14633,0.69993,0.58409,0.63848,0.47539,0.91216,0.9304,1.10014,0.000126623,0.000126623,0.000126623
7,11420.3,0.92431,0.96318,1.12956,0.69846,0.59557,0.64728,0.48462,0.90376,0.9145,1.09354,0.000101,0.000101,0.000101
8,12991.7,0.90667,0.92256,1.12104,0.69049,0.60393,0.65124,0.48865,0.89723,0.90005,1.09067,7.53769e-05,7.53769e-05,7.53769e-05
9,14558.5,0.88915,0.87905,1.10665,0.69874,0.60529,0.65558,0.49286,0.89342,0.89261,1.08787,5.15e-05,5.15e-05,5.15e-05
10,16132.5,0.87539,0.84874,1.09949,0.69941,0.60614,0.65806,0.49506,0.89033,0.88864,1.08688,3.09964e-05,3.09964e-05,3.09964e-05
11,17755.1,0.86533,0.8259,1.09258,0.70453,0.60375,0.65966,0.49639,0.88928,0.88612,1.08659,1.52635e-05,1.52635e-05,1.52635e-05
12,19343.4,0.85913,0.81059,1.08775,0.70418,0.60746,0.66122,0.49749,0.88888,0.88462,1.08618,5.37334e-06,5.37334e-06,5.37334e-06
