epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1651.69,0.93776,1.1211,1.15829,0.68034,0.58621,0.63484,0.47578,0.8787,0.91299,1.0785,5e-05,5e-05,5e-05
2,3307.94,0.92656,1.06322,1.14589,0.68551,0.59272,0.64505,0.48297,0.87851,0.89934,1.08147,4.9947e-05,4.9947e-05,4.9947e-05
3,4941.4,0.92151,1.0413,1.14411,0.70412,0.59341,0.65037,0.48806,0.87845,0.89523,1.07932,4.97883e-05,4.97883e-05,4.97883e-05
4,6555.85,0.91743,1.0248,1.14076,0.71801,0.59267,0.65912,0.49542,0.87431,0.87724,1.07298,4.95244e-05,4.95244e-05,4.95244e-05
5,8175.5,0.91525,1.01186,1.13626,0.70014,0.60778,0.66602,0.50079,0.87195,0.86816,1.07236,4.91567e-05,4.91567e-05,4.91567e-05
6,9827.74,0.91019,0.99885,1.13369,0.72034,0.60291,0.66961,0.50365,0.86937,0.85847,1.069,4.86865e-05,4.86865e-05,4.86865e-05
7,11486.6,0.90796,0.98778,1.13323,0.70791,0.60859,0.67078,0.50613,0.86647,0.85297,1.06912,4.8116e-05,4.8116e-05,4.8116e-05
8,13160.1,0.90412,0.97876,1.1338,0.71599,0.6119,0.67438,0.50926,0.86574,0.84783,1.07212,4.74476e-05,4.74476e-05,4.74476e-05
9,14800,0.90251,0.97136,1.12796,0.72112,0.61653,0.67612,0.511,0.86452,0.84314,1.06892,4.66841e-05,4.66841e-05,4.66841e-05
10,16432.9,0.90092,0.96044,1.12688,0.72865,0.61482,0.67881,0.51356,0.86347,0.83841,1.06828,4.58289e-05,4.58289e-05,4.58289e-05
11,18066.2,0.89956,0.95384,1.12473,0.72526,0.61992,0.67999,0.51459,0.86212,0.8352,1.06706,4.48855e-05,4.48855e-05,4.48855e-05
12,19713.8,0.89569,0.94672,1.12464,0.72775,0.6187,0.68193,0.51622,0.86094,0.83289,1.06619,4.3858e-05,4.3858e-05,4.3858e-05
13,21367.7,0.89573,0.94071,1.12509,0.70534,0.62874,0.68204,0.51659,0.8603,0.83145,1.06635,4.27509e-05,4.27509e-05,4.27509e-05
14,23007.9,0.89187,0.93179,1.12062,0.70733,0.62854,0.68324,0.51747,0.86013,0.82944,1.06641,4.15688e-05,4.15688e-05,4.15688e-05
15,24641.4,0.89092,0.92573,1.11776,0.72109,0.62625,0.68446,0.51853,0.85999,0.82786,1.06609,4.03168e-05,4.03168e-05,4.03168e-05
16,26287.1,0.88811,0.91994,1.11923,0.7129,0.63099,0.68519,0.51965,0.85942,0.82696,1.0661,3.90004e-05,3.90004e-05,3.90004e-05
17,27879.4,0.88509,0.9138,1.11643,0.71683,0.62765,0.68554,0.51996,0.8588,0.82643,1.06566,3.7625e-05,3.7625e-05,3.7625e-05
18,29498.1,0.88401,0.90556,1.11616,0.71617,0.62926,0.68655,0.52067,0.85862,0.82586,1.06574,3.61966e-05,3.61966e-05,3.61966e-05
19,31121.1,0.88161,0.90006,1.11626,0.71775,0.63096,0.68722,0.52112,0.85859,0.82511,1.06603,3.47214e-05,3.47214e-05,3.47214e-05
20,32708.1,0.88111,0.89618,1.11356,0.72093,0.63131,0.6878,0.52159,0.85863,0.8251,1.06606,3.32056e-05,3.32056e-05,3.32056e-05
21,34309.2,0.87706,0.88811,1.11074,0.7205,0.63279,0.68798,0.52153,0.85914,0.82498,1.06654,3.16558e-05,3.16558e-05,3.16558e-05
22,35860.8,0.87463,0.88149,1.1072,0.72095,0.63248,0.68843,0.52196,0.85943,0.8243,1.06615,3.00785e-05,3.00785e-05,3.00785e-05
23,37413.2,0.87315,0.87447,1.10642,0.72402,0.63148,0.68843,0.5221,0.85953,0.82377,1.06556,2.84805e-05,2.84805e-05,2.84805e-05
24,39056.5,0.8704,0.86865,1.10611,0.7268,0.63021,0.68921,0.52284,0.85959,0.82331,1.06538,2.68687e-05,2.68687e-05,2.68687e-05
25,40690.8,0.86931,0.86488,1.10599,0.73082,0.62865,0.68954,0.52238,0.85978,0.82315,1.06537,2.525e-05,2.525e-05,2.525e-05
26,42304.4,0.86768,0.86023,1.10632,0.7337,0.62954,0.6904,0.52291,0.85961,0.82266,1.06557,2.36313e-05,2.36313e-05,2.36313e-05
27,43925.9,0.86536,0.8554,1.10378,0.73255,0.63217,0.69074,0.52335,0.85998,0.82207,1.06581,2.20195e-05,2.20195e-05,2.20195e-05
28,45517.1,0.86409,0.84902,1.10308,0.73413,0.63193,0.69148,0.52369,0.86052,0.82201,1.06627,2.04215e-05,2.04215e-05,2.04215e-05
29,47122.5,0.86138,0.84439,1.09922,0.73343,0.63298,0.69197,0.52336,0.86054,0.8219,1.06609,1.88442e-05,1.88442e-05,1.88442e-05
30,48746.7,0.85876,0.8397,1.09704,0.73159,0.63525,0.69223,0.52362,0.86097,0.82112,1.06629,1.72944e-05,1.72944e-05,1.72944e-05
31,50281.4,0.85856,0.83569,1.096,0.72908,0.63658,0.69207,0.52396,0.86145,0.82084,1.06629,1.57786e-05,1.57786e-05,1.57786e-05
32,51792.1,0.85631,0.83054,1.09454,0.73289,0.63329,0.69165,0.52372,0.86182,0.82112,1.06607,1.43034e-05,1.43034e-05,1.43034e-05
33,53352.6,0.85565,0.82548,1.09423,0.73142,0.63536,0.69182,0.52368,0.86176,0.82089,1.06591,1.2875e-05,1.2875e-05,1.2875e-05
34,54896.5,0.85399,0.82199,1.09249,0.73679,0.63307,0.69204,0.52359,0.86216,0.82039,1.06578,1.14996e-05,1.14996e-05,1.14996e-05
35,56427.4,0.85292,0.81752,1.09064,0.73934,0.63189,0.69218,0.52365,0.86202,0.82005,1.06509,1.01832e-05,1.01832e-05,1.01832e-05
36,57970.5,0.84948,0.81446,1.09203,0.73119,0.63561,0.69252,0.52342,0.86235,0.82011,1.06527,8.93119e-06,8.93119e-06,8.93119e-06
37,59519,0.82136,0.7341,1.06113,0.72332,0.6358,0.69192,0.52277,0.8629,0.82065,1.06599,7.74911e-06,7.74911e-06,7.74911e-06
38,61045.5,0.81527,0.72218,1.0563,0.71862,0.6375,0.69189,0.5228,0.86358,0.82182,1.06683,6.64196e-06,6.64196e-06,6.64196e-06
39,62562.4,0.81273,0.71553,1.05392,0.72472,0.63834,0.6927,0.52342,0.864,0.82244,1.06705,5.6145e-06,5.6145e-06,5.6145e-06
40,64067.6,0.81189,0.71358,1.05346,0.71044,0.64681,0.69182,0.5228,0.86453,0.82438,1.06735,4.67113e-06,4.67113e-06,4.67113e-06
41,65582.8,0.80977,0.70874,1.05238,0.71081,0.64712,0.692,0.5228,0.86498,0.82502,1.06752,3.81587e-06,3.81587e-06,3.81587e-06
42,67094.8,0.80876,0.70526,1.05115,0.70899,0.6472,0.69186,0.52281,0.86516,0.82596,1.06767,3.0524e-06,3.0524e-06,3.0524e-06
43,68670.5,0.80813,0.70352,1.05018,0.70897,0.64891,0.69137,0.5218,0.86547,0.82685,1.06778,2.38398e-06,2.38398e-06,2.38398e-06
44,70228.9,0.80732,0.70053,1.04945,0.70754,0.64955,0.69086,0.52138,0.86605,0.82775,1.06799,1.81348e-06,1.81348e-06,1.81348e-06
45,71772.5,0.80646,0.69926,1.04776,0.71681,0.64152,0.69038,0.52112,0.86604,0.82787,1.06796,1.34334e-06,1.34334e-06,1.34334e-06
46,73320.6,0.80489,0.69749,1.0482,0.71678,0.63879,0.68965,0.52105,0.86659,0.8287,1.0683,9.75564e-07,9.75564e-07,9.75564e-07
47,74880.7,0.80565,0.69659,1.04859,0.71988,0.63674,0.68987,0.5211,0.86664,0.82925,1.0684,7.1174e-07,7.1174e-07,7.1174e-07
48,76413.7,0.80567,0.69718,1.0487,0.72187,0.63628,0.68959,0.52068,0.86689,0.82988,1.06852,5.52992e-07,5.52992e-07,5.52992e-07
