epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.312,1.05328,1.2809,1.15327,0.62086,0.50073,0.53912,0.38879,1.01403,1.11368,1.09718,5e-05,5e-05,5e-05
2,1312.95,1.03493,1.19085,1.13802,0.63094,0.51654,0.55334,0.39839,1.01,1.09,1.08987,4.91567e-05,4.91567e-05,4.91567e-05
3,1950.59,1.02494,1.15828,1.1314,0.63907,0.5165,0.56293,0.40585,1.00649,1.07458,1.08806,4.66841e-05,4.66841e-05,4.66841e-05
4,2585.4,1.01713,1.13109,1.1265,0.66247,0.51585,0.56829,0.41257,1.00274,1.0611,1.08612,4.27509e-05,4.27509e-05,4.27509e-05
5,3222.43,1.01109,1.10841,1.12187,0.65895,0.53176,0.57815,0.42052,0.99669,1.04006,1.08027,3.7625e-05,3.7625e-05,3.7625e-05
6,3858.77,1.00248,1.08697,1.11638,0.67476,0.5291,0.58182,0.42337,0.99011,1.03103,1.07663,3.16558e-05,3.16558e-05,3.16558e-05
7,4495.58,0.99578,1.06671,1.11066,0.66855,0.53638,0.58558,0.42731,0.98841,1.02316,1.07617,2.525e-05,2.525e-05,2.525e-05
8,5141.78,0.98838,1.04925,1.10679,0.67854,0.53517,0.58689,0.42878,0.98602,1.01958,1.0745,1.88442e-05,1.88442e-05,1.88442e-05
9,5794,0.98379,1.03363,1.10209,0.6862,0.5319,0.5896,0.43017,0.98479,1.01582,1.07275,1.2875e-05,1.2875e-05,1.2875e-05
10,6430.61,0.97885,1.02152,1.09991,0.6886,0.53251,0.59066,0.43059,0.9841,1.01385,1.07222,7.74911e-06,7.74911e-06,7.74911e-06
11,7065.45,0.97475,1.01305,1.09744,0.68757,0.53338,0.59138,0.43125,0.98395,1.01278,1.07216,3.81587e-06,3.81587e-06,3.81587e-06
12,7699.85,0.97297,1.0083,1.09646,0.68372,0.53426,0.59169,0.43162,0.98366,1.01208,1.07206,1.34334e-06,1.34334e-06,1.34334e-06
