epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1539.69,0.89573,1.01891,1.15958,0.68469,0.59465,0.6456,0.4859,0.87473,0.92577,1.11804,5e-05,5e-05,5e-05
2,3081.45,0.8808,0.9607,1.14119,0.69064,0.60495,0.65819,0.49482,0.86714,0.926,1.11392,4.91567e-05,4.91567e-05,4.91567e-05
3,4633.02,0.87471,0.93963,1.13639,0.71221,0.59969,0.66482,0.50164,0.86547,0.9096,1.11127,4.66841e-05,4.66841e-05,4.66841e-05
4,6174.22,0.86747,0.92083,1.12918,0.70221,0.61341,0.67148,0.50565,0.86445,0.89952,1.11577,4.27509e-05,4.27509e-05,4.27509e-05
5,7706.08,0.86315,0.90922,1.1291,0.70233,0.61802,0.67648,0.51121,0.86014,0.88972,1.10734,3.7625e-05,3.7625e-05,3.7625e-05
6,9234.5,0.85737,0.89528,1.12438,0.70153,0.62738,0.67974,0.51426,0.85965,0.88361,1.10777,3.16558e-05,3.16558e-05,3.16558e-05
7,10774.6,0.85362,0.882,1.11987,0.70058,0.63001,0.6826,0.51741,0.85696,0.88067,1.10142,2.525e-05,2.525e-05,2.525e-05
8,12311.5,0.84969,0.87257,1.11537,0.70632,0.62538,0.68346,0.51842,0.85674,0.87902,1.10093,1.88442e-05,1.88442e-05,1.88442e-05
9,13851.3,0.8453,0.86152,1.11252,0.71603,0.62232,0.68367,0.51849,0.85619,0.87776,1.10065,1.2875e-05,1.2875e-05,1.2875e-05
10,15388.5,0.84347,0.85423,1.10908,0.71588,0.62298,0.6845,0.51906,0.85567,0.87751,1.0993,7.74911e-06,7.74911e-06,7.74911e-06
11,16934,0.84068,0.8491,1.10856,0.71116,0.62737,0.68483,0.51915,0.85549,0.87686,1.09904,3.81587e-06,3.81587e-06,3.81587e-06
